id,question,option_a,option_b,option_c,option_d,correct_option
OIC-045-14-A,What is a positive sweat test result for cystic fibrosis?,Above 50 meq/L,Below 30 meq/L,Between 40-60 meq/L,Above 80 meq/L,option_c
OIC-045-03-A,What is the primary goal of genetic counselling in relation to reproductive autonomy?,To provide accurate information about the risks and benefits of genetic testing,To allow individuals to make their own decisions without external influence,To enable parents to choose whether or not to have children with a genetic disorder,To promote eugenics by selecting for certain traits,option_a
OIC-045-04-B,What is the typical time frame for obtaining a foetal karyotype result?,2-3 days,1 week,4 weeks,6 months,a
OIC-045-05-A,What is the recommended course of action for a woman with a risk of trisomy 21?,Continue non-invasive prenatal screening,Propose foetal karyotype testing,Request INFP,Measure serum markers in the second trimester,option_a
OIC-045-07-B,What is the correct procedure for explaining the risk of recurrence to a new mother who has had a child with Down's syndrome?,Carry out karyotyping of both parents,Only carry out karyotyping of the mother,Do not carry out any testing,Request a foetal karyotype from the father,option_a
OIC-022-02-B,"What is the main purpose of the National Plan for Rare Diseases (PNMR3) in France? 
",To provide a precise diagnosis within one year after specialist consultation,To ensure that all patients with rare diseases receive care and therapies available,To promote clear healthcare pathways,To limit patients to those for whom current scientific knowledge does not allow a precise diagnosis,option_a
OIC-022-06-B,What is the primary role of patients with rare diseases in seeking medical care?,To seek immediate attention from a specialist,To be aware of their own condition and symptoms,To report any unusual combination of symptoms to non-specialist doctors,To provide detailed information about their family's history of rare diseases,b
OIC-022-04-B,What percentage of rare diseases in France are genetic?,50%,75%,80%,90%,b
OIC-022-03-B,What is the most common rare disease that a general practitioner may encounter?,Haemochromatosis,Sickle Cell Anaemia,Thalassaemia,Duchenne Muscular Dystrophy,a
OIC-022-05-A,What is the main difference between diagnostic wandering and diagnostic impasse?,"Diagnostic wandering occurs before the diagnosis, while diagnostic impasse occurs after",Both are caused by the same underlying factor,"Diagnostic wandering is a temporary condition, while diagnostic impasse is a permanent state",Diagnostic wandering and diagnostic impasse have no relation to each other,option_a
OIC-022-01-A,What is a characteristic of rare diseases?,They are more common,"They have a prevalence of over 1 in 2,000",They are caused by environmental factors,They affect one person out of every 1000 people,option_d
OIC-132-14-B,What is a common initial clinical presentation in frontotemporal lobar degeneration?,Behavioral disorders due to behavioral executive impairment,Dysexecutive syndrome,"Neurological examination initially normal, then appearance of archaic reflexes, pyramidal syndrome, astasia-abasia",Bilateral posterior parietal atrophy on brain MRI,option_a
OIC-132-02-A,What is the primary difference between amyloid plaques and neurofibrillary degeneration in Alzheimer's disease?,"Amyloid plaques are composed of Aβ peptides, while neurofibrillary degeneration is composed of tau protein.","Neurofibrillary degeneration is characterized by hyperphosphorylation of microtubules, while amyloid plaques are not.",Both amyloid plaques and neurofibrillary degeneration are associated with neuronal loss in Alzheimer's disease.,Amyloid plaques are the primary cause of diffuse or lacunar ischemic vascular lesions.,option_a
OIC-132-01-A,What is the main difference between minor and major neuro-cognitive disorders according to DSM-5?,Minor cognitive impairment requires assistance with daily activities.,Major neurocognitive disorder affects only one aspect of cognition.,Both require assistance with daily activities.,Neither requires assistance with daily activities.,option_a
OIC-132-05-A,What is a possible reversible cause of neuro-cognitive disorders in the elderly?,Vitamin deficiency,Subdural hematoma,Intracranial tumor,Carbon monoxide poisoning,option_a
OIC-132-12-B,What is the primary goal when managing disruptive behavioral problems in neuro-cognitive disorders?,To quickly identify and treat underlying medical conditions,To immediately administer medication to calm down the patient,To engage patients in occupational activities to reduce aggression,To ignore the patient's behavior and hope it resolves on its own,option_a
OIC-132-06-A,What is the most common cause of a neuro-cognitive disorder in the elderly?,Alzheimer's disease,Parkinson's disease,Huntington's disease,Secondary to cerebral trauma,option_a
OIC-132-07-A,What is a key tool for assessing the severity of neurocognitive disorders in the elderly?,Mini Mental State Evaluation,Dubois 5-word test,BREF: Assessment of executive functions,Clock: Assessment of visuospatial functions,option_a
OIC-132-11-B,What is a common symptom associated with depression in elderly patients?,Irritability,Apathy,Exaltation/euphoria,Depression/dysphoria,option_a
OIC-132-08-A,What should be checked in blood tests to identify anemia?,Erythrocyte sedimentation rate (ESR),Fasting white blood cell count,Anemia index,Hemoglobin level,a
OIC-132-09-A,What is the recommended initial management for a patient with a neuro-cognitive disorder?,A. Introduction of the 'ALD 15',B. Non-drug interventions,"C. Cognitive remediation by a speech therapist, or in a day center or day hospital, Alzheimer's care team (ESA)",D. Any drug treatments in accordance with the MA,C
OIC-132-03-A,What is a characteristic of cerebral lesions in vascular encephalopathy?,Ischaemic,Haemorrhagic,Amyloid,Multiple infarctions,a
OIC-132-10-A,What is a common goal for carers of patients with dementia?,To provide emotional support,To improve physical health,To reduce the patient's dependency on others,To increase their independence in daily activities,option_d
OIC-132-13-B,What is the primary feature of neurofibrillary degeneration in Alzheimer's disease?,Hyperphosphorylation of tau protein,Intra-neuronal transport disruption,Microtubule formation,Amyloid precursor protein cleavage,option_a
OIC-132-15-B,What should be the first step in diagnosing a neurocognitive disorder?,Rule out a curable cause of cognitive impairment,Perform a CT scan instead of MRI,Obtain a blood test to check for vitamin deficiencies,Use ultrasound to diagnose the condition,rule out a curable cause of cognitive impairment
OIC-132-04-B,What is a key characteristic of Lewy body disease (LBD) that allows for its diagnosis?,Progressive cognitive decline,Parkinsonian symptoms,Early visual hallucinations,Dysautonomia with orthostatic hypotension,c
OIC-265-09-B,What is a common symptom associated with urinary lithiasis other than renal colic?,Asymptomatic stone discovered by chance,Haematuria (260),Urinary infections (161),Renal insufficiency (264),option_a
OIC-265-04-B,What is the main factor that promotes hypercalciuria in individuals with urinary lithiasis?,Dairy products,Oxalate-rich foods,Purine-rich foods,Fast sugars,b
OIC-265-02-B,Where is urinary lithiasis most common?,In the United States,In Europe,In Australia,In South America,b
OIC-265-12-B,What is the primary purpose of a metabolic assessment in the first-line work-up for urinary lithiasis?,To identify potential causes of hypercalciuria,To determine the molecular composition of the stone,To measure blood sugar levels,To assess the risk of kidney stones,b
OIC-265-01-A,What is the primary location where lithiasis forms?,Kidneys,Bladder,Ureters,Lungs,a
OIC-265-06-A,What is a common factor contributing to renal colic?,Travel,Heat,Dehydration,Dietary changes,b
OIC-265-08-A,What is the recommended imaging modality for nephritic colic in pregnant women?,Ultrasound,Non-injected CT scan,Low-dose MRI,1.5T MRI,option_a
OIC-265-10-B,What is the recommended imaging modality for suspected renal colic in a patient with a single kidney?,Ultrasound,CT scan,MRI,X-ray,b
OIC-265-03-B,What is the typical UH density of Cystine stones?,1000,500,2000,1500,b
OIC-265-14-A,What is the main indication for active treatment in cases with stones <10 mm in size?,Proximal Ureter,Distal Ureter,Kidney Stones,High stone density (>1000 UH),option_a
OIC-265-05-A,What is the main definition of renal colic?,A sudden and severe pain in the lower back,A sudden and severe pain in the upper abdomen,A sudden and severe pain in the groin area,A sudden and severe pain in the chest cavity,option_a
